,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?",rating_category,institution,perception
943,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
944,5.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
945,2.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
947,9.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
948,9.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
949,9.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
953,4.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
954,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
957,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
959,8.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
960,4.0,Low (1-4),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
962,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
963,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
964,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
967,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
968,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
969,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
970,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
971,10.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
972,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
973,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
974,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
977,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
978,5.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
979,10.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
981,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
982,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
983,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
984,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
987,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
989,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
990,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
992,8.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
993,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
997,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
998,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
999,8.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1001,8.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1002,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1003,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1004,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
